suite,task,task_idx,rollout_idx,success,steps,elapsed_sec
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,True,88,10.646491289138794
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,True,90,8.9435715675354
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,2,True,97,11.147164583206177
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,3,True,89,10.177423238754272
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,4,True,89,8.21641755104065
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,5,True,86,7.804089069366455
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,6,True,91,10.044918537139893
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,7,True,100,11.736968994140625
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,8,True,94,11.459598302841187
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,9,True,90,8.85888123512268
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,0,True,120,10.920656442642212
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,1,True,109,10.141710996627808
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,2,False,230,23.77058458328247
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,3,True,116,11.994827508926392
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,4,True,131,15.46458888053894
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,5,True,112,11.961559772491455
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,6,True,109,11.449726343154907
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,7,True,119,12.71177339553833
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,8,False,230,25.127108812332153
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,9,True,118,12.407665729522705
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,0,True,112,12.563308000564575
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,1,True,113,12.675488710403442
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,2,True,123,12.550830364227295
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,3,True,138,13.55994701385498
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,4,True,114,10.92508316040039
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,5,True,144,15.25554084777832
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,6,True,114,12.521847486495972
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,7,False,230,25.05756187438965
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,8,True,118,11.0951406955719
libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,9,True,110,10.916714429855347
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,0,True,101,11.137473106384277
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,1,True,105,11.560395956039429
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,2,True,97,11.431809902191162
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,3,True,101,11.867399454116821
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,4,True,101,9.914814233779907
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,5,False,230,26.108391284942627
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,6,True,109,11.283536195755005
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,7,True,105,10.983919858932495
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,8,True,112,10.063066482543945
libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,3,9,True,105,8.60512089729309
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,0,True,146,12.024897336959839
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,1,True,152,12.645202875137329
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,2,True,140,11.821658372879028
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,3,True,156,13.228742122650146
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,4,False,230,19.934821367263794
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,5,True,144,11.99600863456726
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,6,True,144,11.964431047439575
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,7,True,133,11.19070816040039
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,8,True,131,11.142629861831665
libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,4,9,True,201,17.05869150161743
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,0,False,230,18.760024785995483
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,1,False,230,18.94399380683899
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,2,False,230,18.315096378326416
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,3,False,230,19.06073522567749
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,4,False,230,18.816853523254395
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,5,False,230,18.77576470375061
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,6,False,230,19.06982731819153
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,7,False,230,18.7464816570282
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,8,False,230,18.963383674621582
libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,9,False,230,18.536946535110474
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,0,True,121,9.736005783081055
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,1,True,113,9.014984130859375
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,2,True,120,9.926560401916504
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,3,True,118,9.917529821395874
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,4,True,120,9.715263843536377
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,5,True,124,10.296298742294312
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,6,True,133,11.086184740066528
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,7,True,119,9.894359827041626
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,8,True,124,10.218034267425537
libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,6,9,True,120,9.803873538970947
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,0,True,151,13.12260127067566
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,1,True,129,10.900306701660156
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,2,True,142,12.130277156829834
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,3,True,134,11.595349311828613
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,4,True,141,12.37342882156372
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,5,True,135,11.57227087020874
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,6,True,134,11.74522590637207
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,7,True,144,12.256346940994263
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,8,True,146,12.069711208343506
libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,9,True,139,12.067236185073853
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,0,True,113,9.07341718673706
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,1,True,114,9.272170066833496
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,2,True,112,9.043643712997437
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,3,True,113,9.238064050674438
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,4,False,230,18.185997247695923
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,5,True,103,8.331839323043823
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,6,False,230,18.557085752487183
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,7,True,108,8.973639726638794
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,8,True,118,9.558096408843994
libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,8,9,True,111,8.932814121246338
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,0,True,133,10.888052940368652
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,1,True,142,11.502237796783447
libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,9,2,True,137,11.005141496658325
