suite,task,task_idx,rollout_idx,success,steps,elapsed_sec
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,0,True,89,10.22677493095398
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,True,91,10.434992551803589
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,2,True,95,10.407999992370605
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,3,True,91,10.603046894073486
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,4,True,89,9.895382165908813
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,5,True,96,10.810499668121338
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,6,True,93,10.657204627990723
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,7,True,101,11.518097162246704
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,8,True,93,10.499765396118164
libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,9,True,89,9.778347492218018
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,0,True,125,14.18197774887085
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,1,True,109,12.46759581565857
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,2,True,115,13.29971694946289
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,3,True,116,13.316781759262085
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,4,True,129,14.42350697517395
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,5,True,117,13.35160779953003
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,6,True,109,12.33547329902649
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,7,True,140,16.153650045394897
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,8,True,105,11.565858602523804
libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,9,True,120,13.283886909484863
